version #2.2	版本 #2.2
N-BASIC version	N-BASIC 版本
N80-BASIC version	N80-BASIC 版本
N88-BASIC version	N88-BASIC 版本
non-playing version	non-playing 版本
Nouvelle Version	Nouvelle 版本
Nude version	裸 版本
Older Version	旧 版本
One disk version	One disk 版本
one key version	one key 版本
Otameshi Version	Otameshi 版本
Paddle Version	Paddle 版本
PCM8 version	PCM8 版本
Peter Williamson Version	Peter Williamson 版本
Physical Version	Physical 版本
Pocket version	Pocket 版本
Pre-Release Version	预发布 版本
Printer Version	Printer 版本
prototype CES version	原型版 CES 版本
Revised Version	修订 版本
Revision 2015 Party version	修订 2015 Party 版本
ripped from GBA Famicom Mini version	ripped from GBA Famicom Mini 版本
ROM Version	ROM 版本
Romik Version	Romik 版本
Rumble Version	Rumble 版本
SB2 version	SB2 版本
SD1 Version	SD1 版本
second version	第二版
Single drive version	Single drive 版本
Slow Load Version	Slow Load 版本
Slow Version	慢 版本
Spain retail version	西班牙 零售 版本
	
Spanish version	西班牙 版本
Special Version	特殊 版本
Split Version	Split 版本
Student Version	学生 版本
take version	take 版本
Tandy version	Tandy 版本
	
Tengen version	Tengen 版本
Test Version	测试 版本
	
text menu version	文字菜单 版本
TMS1100 version	TMS1100 版本
TownsGEAR V2.1 version	TownsGEAR V2.1 版本
Turbo Version	加速 版本
UK retail version	英国 零售 版本
Ultima Trilogy version	Ultima Trilogy 版本
Unknown 1982 version	未知的 1982 版本
VGA 256 colors version	VGA 256 colors 版本
VGA version	VGA 版本
vinyl version	vinyl 版本
White version	白 版本
windows version	windows 版本
with 48k version	with 48k 版本
with SOS revised version	with SOS revised 版本
YM2610 Version	YM2610 版本
	
